vm_id 	 i-E6353F7D
vm_cpu 	 4

tax 	 1.125
pool_id 	 lc1_AZ6_i-7AD240CE
state 	 do_ovc_48
default_cpu 	 32
host_cpu 	 0
host_id 	 HOST0
vm_id 	 i-7AD240CE
vm_cpu 	 4

tax 	 1.5625
pool_id 	 lc1_AZ5_i-52E1405F
state 	 undo_ovc_49
default_cpu 	 32
host_cpu 	 2
host_id 	 HOST0
vm_id 	 i-52E1405F
vm_cpu 	 2

tax 	 1.0625
pool_id 	 lc1_AZ6_i-9E684461
state 	 do_ovc_50
default_cpu 	 32
host_cpu 	 2
host_id 	 HOST0
vm_id 	 i-9E684461
vm_cpu 	 4

tax 	 1.0625
pool_id 	 lc1_AZ6_i-D6B2429F
state 	 do_ovc_51
default_cpu 	 32
host_cpu 	 0
host_id 	 HOST0
vm_id 	 i-D6B2429F
vm_cpu 	 2

tax 	 1.75
pool_id 	 None
state 	 undo_ovc_52
default_cpu 	 32
host_cpu 	 2
host_id 	 HOST0
vm_id 	 i-603C4230
vm_cpu 	 2

tax 	 1.6875
pool_id 	 lc1_AZ6_i-D6B2429F
state 	 undo_ovc_53
default_cpu 	 32
host_cpu 	 4
host_id 	 HOST0
vm_id 	 i-D6B2429F
vm_cpu 	 2

tax 	 1.625
pool_id 	 None
state 	 undo_ovc_54
default_cpu 	 32
host_cpu 	 4
host_id 	 HOST0
vm_id 	 i-75E6401B
vm_cpu 	 4

tax 	 1.6875
pool_id 	 lc1_AZ5_i-2D1440D8
state 	 undo_ovc_55
default_cpu 	 32
host_cpu 	 4
host_id 	 HOST0
vm_id 	 i-2D1440D8
vm_cpu 	 2

tax 	 1.6875
pool_id 	 None
state 	 undo_ovc_56
default_cpu 	 32
host_cpu 	 4
host_id 	 HOST0
vm_id 	 i-803B3F2D
vm_cpu 	 2

tax 	 1.6875
pool_id 	 None
state 	 undo_ovc_57
default_cpu 	 32
host_cpu 	 4
host_id 	 HOST0
vm_id 	 i-0F0D42F0
vm_cpu 	 2

tax 	 1.6875
pool_id 	 lc1_AZ5_i-E9EA4215
state 	 undo_ovc_58
default_cpu 	 32
host_cpu 	 4
host_id 	 HOST0
vm_id 	 i-E9EA4215
vm_cpu 	 2

tax 	 1.625
pool_id 	 lc1_AZ5_i-DB944521
state 	 undo_ovc_59
default_cpu 	 32
host_cpu 	 4
host_id 	 HOST0
vm_id 	 i-DB944521
vm_cpu 	 4

tax 	 1.6875
pool_id 	 lc1_AZ5_i-DE6740D5
state 	 undo_ovc_60
default_cpu 	 32
host_cpu 	 4
host_id 	 HOST0
vm_id 	 i-DE6740D5
vm_cpu 	 2

tax 	 1.75
pool_id 	 None
state 	 undo_ovc_61
default_cpu 	 32
host_cpu 	 2
host_id 	 HOST0
vm_id 	 i-824A41E1
vm_cpu 	 2

tax 	 1.6875
pool_id 	 lc1_AZ6_i-360E43C5
state 	 undo_ovc_62
default_cpu 	 32
host_cpu 	 4
host_id 	 HOST0
vm_id 	 i-360E43C5
vm_cpu 	 2

tax 	 1.6875
pool_id 	 None
state 	 undo_ovc_63
default_cpu 	 32
host_cpu 	 4
host_id 	 HOST0
vm_id 	 i-9DFB4096
vm_cpu 	 2

tax 	 1.6875
pool_id 	 None
state 	 undo_ovc_64
default_cpu 	 32
host_cpu 	 4
host_id 	 HOST0
vm_id 	 i-953B423F
vm_cpu 	 2

tax 	 1.625
pool_id 	 None
state 	 undo_ovc_65
default_cpu 	 32
host_cpu 	 4
host_id 	 HOST0
vm_id 	 i-4CE34140
vm_cpu 	 4

tax 	 1.6875
pool_id 	 None
state 	 undo_ovc_66
default_cpu 	 32
host_cpu 	 4
host_id 	 HOST0
vm_id 	 i-740641A3
vm_cpu 	 2

tax 	 1.6875
pool_id 	 None
state 	 undo_ovc_67
default_cpu 	 32
host_cpu 	 4
host_id 	 HOST0
vm_id 	 i-E6FF41B1
vm_cpu 	 2

tax 	 1.6875
pool_id 	 lc1_AZ6_i-643C43B0
state 	 undo_ovc_68
default_cpu 	 32
host_cpu 	 4
host_id 	 HOST0
vm_id 	 i-643C43B0
vm_cpu 	 2

tax 	 1.6875
pool_id 	 None
state 	 undo_ovc_69
default_cpu 	 32
host_cpu 	 4
host_id 	 HOST0
vm_id 	 i-C0E83EE8
vm_cpu 	 2

tax 	 1.625
pool_id 	 None
state 	 undo_ovc_70
default_cpu 	 32
host_cpu 	 4
host_id 	 HOST0
vm_id 	 i-5CE03E42
vm_cpu 	 4

tax 	 1.6875
pool_id 	 None
state 	 undo_ovc_71
default_cpu 	 32
host_cpu 	 4
host_id 	 HOST0
vm_id 	 i-C4743FB9
vm_cpu 	 2

tax 	 1.6875
pool_id 	 None
state 	 undo_ovc_72
default_cpu 	 32
host_cpu 	 4
host_id 	 HOST0
vm_id 	 i-05EE4310
vm_cpu 	 2

tax 	 1.6875
pool_id 	 None
state 	 undo_ovc_73
default_cpu 	 32
host_cpu 	 4
host_id 	 HOST0
vm_id 	 i-E2E542AF
vm_cpu 	 2

tax 	 1.6875
pool_id 	 None
state 	 undo_ovc_74
default_cpu 	 32
host_cpu 	 4
host_id 	 HOST0
vm_id 	 i-487444DA
vm_cpu 	 2

tax 	 1.625
pool_id 	 None
state 	 undo_ovc_75
default_cpu 	 32
host_cpu 	 4
host_id 	 HOST0
vm_id 	 i-6CF943E6
vm_cpu 	 4

tax 	 1.6875
pool_id 	 lc1_AZ5_i-6A48429A
state 	 undo_ovc_76
default_cpu 	 32
host_cpu 	 4
host_id 	 HOST0
vm_id 	 i-6A48429A
vm_cpu 	 2

tax 	 1.6875
pool_id 	 None
state 	 undo_ovc_77
default_cpu 	 32
host_cpu 	 4
host_id 	 HOST0
vm_id 	 i-1B1F4727
vm_cpu 	 2

tax 	 1.6875
pool_id 	 None
state 	 undo_ovc_78
default_cpu 	 32
host_cpu 	 4
host_id 	 HOST0
vm_id 	 i-E4813E9D
vm_cpu 	 2

tax 	 1.6875
pool_id 	 None
state 	 undo_ovc_79
default_cpu 	 32
host_cpu 	 4
host_id 	 HOST0
vm_id 	 i-53C246DE
vm_cpu 	 2

tax 	 1.625
pool_id 	 None
state 	 undo_ovc_80
default_cpu 	 32
host_cpu 	 4
host_id 	 HOST0
vm_id 	 i-E49B4323
vm_cpu 	 4

tax 	 1.6875
pool_id 	 None
state 	 undo_ovc_81
default_cpu 	 32
host_cpu 	 4
host_id 	 HOST0
vm_id 	 i-946A4198
vm_cpu 	 2

tax 	 1.75
pool_id 	 lc1_AZ5_i-8299417C
state 	 undo_ovc_82
default_cpu 	 32
host_cpu 	 2
host_id 	 HOST0
vm_id 	 i-8299417C
vm_cpu 	 2

tax 	 1.6875
pool_id 	 lc1_AZ6_i-74E54226
state 	 undo_ovc_83
default_cpu 	 32
host_cpu 	 4
host_id 	 HOST0
vm_id 	 i-74E54226
vm_cpu 	 2

tax 	 1.6875
pool_id 	 None
state 	 undo_ovc_84
default_cpu 	 32
host_cpu 	 4
host_id 	 HOST0
vm_id 	 i-487740B4
vm_cpu 	 2

tax 	 1.6875
pool_id 	 None
state 	 undo_ovc_85
default_cpu 	 32
host_cpu 	 4
host_id 	 HOST0
vm_id 	 i-47B444FC
vm_cpu 	 2

tax 	 1.625
pool_id 	 lc1_AZ5_i-7F1F40C3
state 	 undo_ovc_86
default_cpu 	 32
host_cpu 	 4
host_id 	 HOST0
vm_id 	 i-7F1F40C3
vm_cpu 	 4

tax 	 1.6875
pool_id 	 None
state 	 undo_ovc_87
default_cpu 	 32
host_cpu 	 4
host_id 	 HOST0
vm_id 	 i-D58B411A
vm_cpu 	 2

tax 	 1.6875
pool_id 	 None
state 	 undo_ovc_88
default_cpu 	 32
host_cpu 	 4
host_id 	 HOST0
vm_id 	 i-94183D86
vm_cpu 	 2

tax 	 1.6875
pool_id 	 None
state 	 undo_ovc_89
default_cpu 	 32
host_cpu 	 4
host_id 	 HOST0
vm_id 	 i-6F3740CE
vm_cpu 	 2

tax 	 1.6875
pool_id 	 None
state 	 undo_ovc_90
default_cpu 	 32
host_cpu 	 4
host_id 	 HOST0
vm_id 	 i-D4884912
vm_cpu 	 2

tax 	 1.625
pool_id 	 None
state 	 undo_ovc_91
default_cpu 	 32
host_cpu 	 4
host_id 	 HOST0
vm_id 	 i-E7854386
vm_cpu 	 4

tax 	 1.6875
pool_id 	 lc1_AZ5_i-B3D4470E
state 	 undo_ovc_92
default_cpu 	 32
host_cpu 	 4
host_id 	 HOST0
vm_id 	 i-B3D4470E
vm_cpu 	 2

tax 	 1.0625
pool_id 	 None
state 	 do_ovc_93
default_cpu 	 32
host_cpu 	 0
host_id 	 HOST0
vm_id 	 i-39094670
vm_cpu 	 2

tax 	 1.6875
pool_id 	 lc1_AZ6_i-CEBC471A
state 	 undo_ovc_94
default_cpu 	 32
host_cpu 	 4
host_id 	 HOST0
vm_id 	 i-CEBC471A
vm_cpu 	 4

tax 	 1.6875
pool_id 	 None
state 	 undo_ovc_95
default_cpu 	 32
host_cpu 	 6
host_id 	 HOST0
vm_id 	 i-39094670
vm_cpu 	 2

tax 	 1.6875
pool_id 	 None
state 	 undo_ovc_96
default_cpu 	 32
host_cpu 	 6
host_id 	 HOST0
vm_id 	 i-B3C84287
vm_cpu 	 2

tax 	 1.8125
pool_id 	 None
state 	 undo_ovc_97
default_cpu 	 32
host_cpu 	 2
host_id 	 HOST0
vm_id 	 i-C0F24687
vm_cpu 	 2

tax 	 1.0625
pool_id 	 None
state 	 do_ovc_98
default_cpu 	 32
host_cpu 	 2
host_id 	 HOST0
vm_id 	 i-42B440C8
vm_cpu 	 4

tax 	 1.75
pool_id 	 lc1_AZ5_i-42B440C8
state 	 undo_ovc_99
default_cpu 	 32
host_cpu 	 6
host_id 	 HOST0
vm_id 	 i-42B440C8
vm_cpu 	 4

tax 	 1.6875
pool_id 	 lc1_AZ4_i-B49F43F9
state 	 undo_ovc_100
default_cpu 	 32
host_cpu 	 8
host_id 	 HOST0
vm_id 	 i-B49F43F9
vm_cpu 	 4

tax 	 1.6875
pool_id 	 None
state 	 undo_ovc_101
default_cpu 	 32
host_cpu 	 10
host_id 	 HOST0
vm_id 	 i-98993DA3
vm_cpu 	 2

tax 	 1.75
pool_id 	 lc1_AZ6_i-91E93D37
state 	 undo_ovc_102
default_cpu 	 32
host_cpu 	 8
host_id 	 HOST0
vm_id 	 i-91E93D37
vm_cpu 	 2

tax 	 1.6875
pool_id 	 None
state 	 undo_ovc_103
default_cpu 	 32
host_cpu 	 10
host_id 	 HOST0
vm_id 	 i-341B3FAA
vm_cpu 	 2

tax 	 1.0625
pool_id 	 None
state 	 do_ovc_104
default_cpu 	 32
host_cpu 	 0
host_id 	 HOST0
vm_id 	 i-EA5D3FEC
vm_cpu 	 2

tax 	 1.0625
pool_id 	 lc1_AZ6_i-4DD1408E
state 	 do_ovc_105
default_cpu 	 32
host_cpu 	 0
host_id 	 HOST0
vm_id 	 i-4DD1408E
vm_cpu 	 2

tax 	 1.125
pool_id 	 lc1_AZ6_i-F0C34060
state 	 do_ovc_106
default_cpu 	 32
host_cpu 	 0
host_id 	 HOST0
vm_id 	 i-F0C34060
vm_cpu 	 4

tax 	 1.0625
pool_id 	 None
state 	 do_ovc_107
default_cpu 	 32
host_cpu 	 0
host_id 	 HOST0
vm_id 	 i-4D0044A6
vm_cpu 	 2

tax 	 1.1875
pool_id 	 lc1_AZ5_i-4D0044A6
state 	 undo_ovc_108
default_cpu 	 32
host_cpu 	 2
host_id 	 HOST0
vm_id 	 i-4D0044A6
vm_cpu 	 2

tax 	 1.0625
pool_id 	 lc1_AZ6_i-B7224128
state 	 do_ovc_109
default_cpu 	 32
host_cpu 	 2
host_id 	 HOST0
vm_id 	 i-B7224128
vm_cpu 	 4

tax 	 1.0625
pool_id 	 None
state 	 do_ovc_110
default_cpu 	 32
host_cpu 	 2
host_id 	 HOST0
vm_id 	 i-598441F6
vm_cpu 	 4

tax 	 1.25
pool_id 	 None
state 	 undo_ovc_111
default_cpu 	 32
host_cpu 	 6
host_id 	 HOST0
vm_id 	 i-598441F6
vm_cpu 	 4

tax 	 1.3125
pool_id 	 None
state 	 undo_ovc_112
default_cpu 	 32
host_cpu 	 6
host_id 	 HOST0
vm_id 	 i-4E7A4499
vm_cpu 	 2

tax 	 1.25
pool_id 	 lc1_AZ6_i-EB8D4770
state 	 undo_ovc_113
default_cpu 	 32
host_cpu 	 6
host_id 	 HOST0
vm_id 	 i-EB8D4770
vm_cpu 	 4

tax 	 1.3125
pool_id 	 None
state 	 undo_ovc_114
default_cpu 	 32
host_cpu 	 6
host_id 	 HOST0
vm_id 	 i-6F5B4695
vm_cpu 	 2

tax 	 1.375
