[INFO    | Chave_serial| best_host ] --> 	AZ6	 Best host for i-1FAB4158-critical (vcpu:4) is NODE0 (cpu:14.0). ovbCount:0, tax:0 hasOvb? False.
[INFO    | Chave_serial| require_replica ] --> i-1FAB4158-critical require replication! AZ6=?AZ6
[INFO    | Chave_serial| replicate_vm ] --> Pool lc1_AZ6_i-1FAB4158 created for replication
[DEBUG   | Virtual | set_host_id ] --> Host id NODE0 defined for i-1FAB4158 t:critical, az:AZ6
[INFO    | Chave_serial| place    ] --> Allocating vmid:i-1FAB4158 in h:NODE0 t:critical az:AZ6
[DEBUG   | Physical| get_cpu_energy_usage ] --> USAGE in NODE0: 22
[INFO    | Chave_serial| az_optimized_placement ] --> 	AZ6	 New max host on: 2 at ts: 0 s gt: 0
[DEBUG   | Chave_serial| measure_energy ] --> Energy at 0 from START sec is 407.53 WH
[INFO    | Chave_serial| best_host ] --> 	AZ6	 Best host for i-AB7D3E48-regular (vcpu:4) is NODE0 (cpu:10.0). ovbCount:0, tax:0 hasOvb? False.
[DEBUG   | Virtual | set_host_id ] --> Host id NODE0 defined for i-AB7D3E48 t:regular, az:AZ6
[INFO    | Chave_serial| place    ] --> Allocating vmid:i-AB7D3E48 in h:NODE0 t:regular az:AZ6
[DEBUG   | Physical| get_cpu_energy_usage ] --> USAGE in NODE0: 26
[INFO    | Chave_serial| az_optimized_placement ] --> 	AZ6	 New max host on: 2 at ts: 0 s gt: 0
[DEBUG   | Chave_serial| measure_energy ] --> Energy at 0 from START sec is 410.0 WH
[INFO    | Chave_serial| best_host ] --> 	AZ6	 Best host for i-B473449C-regular (vcpu:4) is NODE0 (cpu:6.0). ovbCount:0, tax:0 hasOvb? False.
[DEBUG   | Virtual | set_host_id ] --> Host id NODE0 defined for i-B473449C t:regular, az:AZ6
[INFO    | Chave_serial| place    ] --> Allocating vmid:i-B473449C in h:NODE0 t:regular az:AZ6
[DEBUG   | Physical| get_cpu_energy_usage ] --> USAGE in NODE0: 30
[INFO    | Chave_serial| az_optimized_placement ] --> 	AZ6	 New max host on: 2 at ts: 0 s gt: 0
[DEBUG   | Chave_serial| measure_energy ] --> Energy at 0 from START sec is 414.0 WH
[INFO    | Chave_serial| best_host ] --> 	AZ6	 Best host for i-690042BE-regular (vcpu:4) is NODE2 (cpu:32.0). ovbCount:0, tax:0 hasOvb? False.
[DEBUG   | Virtual | set_host_id ] --> Host id NODE2 defined for i-690042BE t:regular, az:AZ6
[INFO    | Chave_serial| place    ] --> Allocating vmid:i-690042BE in h:NODE2 t:regular az:AZ6
[INFO    | Physical| force_set_host_on ] --> NEW state: NODE2 turned on? True
[DEBUG   | Physical| get_cpu_energy_usage ] --> USAGE in NODE2: 4
[INFO    | Chave_serial| az_optimized_placement ] --> 	AZ6	 New max host on: 3 at ts: 0 s gt: 0
